eqtl_db	eqtl_origin
BLUEPRINT	monocyte
BLUEPRINT	neutrophil
BLUEPRINT	T-cell
GENCORD	fibroblast
GENCORD	LCL
GENCORD	T-cell
GTEx	adipose_subcutaneous
GTEx	adipose_visceral
GTEx	adrenal_gland
GTEx	artery_aorta
GTEx	artery_coronary
GTEx	artery_tibial
GTEx	blood
GTEx	brain_amygdala
GTEx	brain_anterior_cingulate_cortex
GTEx	brain_caudate
GTEx	brain_cerebellar_hemisphere
GTEx	brain_cerebellum
GTEx	brain_cortex
GTEx	brain_frontal_cortex
GTEx	brain_hippocampus
GTEx	brain_hypothalamus
GTEx	brain_nucleus_accumbens
GTEx	brain_putamen
GTEx	brain_spinal_cord
GTEx	brain_substantia_nigra
GTEx	breast
GTEx	colon_sigmoid
GTEx	colon_transverse
GTEx	esophagus_gej
GTEx	esophagus_mucosa
GTEx	esophagus_muscularis
GTEx	fibroblast
GTEx	heart_atrial_appendage
GTEx	heart_left_ventricle
GTEx	kidney_cortex
GTEx	LCL
GTEx	liver
GTEx	lung
GTEx	minor_salivary_gland
GTEx	muscle
GTEx	nerve_tibial
GTEx	ovary
GTEx	pancreas
GTEx	pituitary
GTEx	prostate
GTEx	skin_not_sun_exposed
GTEx	skin_sun_exposed
GTEx	small_intestine
GTEx	spleen
GTEx	stomach
GTEx	testis
GTEx	thyroid
GTEx	uterus
GTEx	vagina
Lepik_2017	blood
Quach_2016	monocyte_IAV
Quach_2016	monocyte_LPS
Quach_2016	monocyte_naive
Quach_2016	monocyte_Pam3CSK4
Quach_2016	monocyte_R848
Schmiedel_2018	B-cell_naive
Schmiedel_2018	CD4_T-cell_anti-CD3-CD28
Schmiedel_2018	CD4_T-cell_naive
Schmiedel_2018	CD8_T-cell_anti-CD3-CD28
Schmiedel_2018	CD8_T-cell_naive
Schmiedel_2018	monocyte_CD16_naive
Schmiedel_2018	monocyte_naive
Schmiedel_2018	NK-cell_naive
Schmiedel_2018	Tfh_memory
Schmiedel_2018	Th1-17_memory
Schmiedel_2018	Th17_memory
Schmiedel_2018	Th1_memory
Schmiedel_2018	Th2_memory
Schmiedel_2018	Treg_memory
Schmiedel_2018	Treg_naive
van_de_Bunt_2015	pancreatic_islet
ImmuNexUT	CD16p_Mono
ImmuNexUT	CL_Mono
ImmuNexUT	CM_CD8
ImmuNexUT	DN_B
ImmuNexUT	EM_CD8
ImmuNexUT	Fr_II_eTreg
ImmuNexUT	Fr_III_T
ImmuNexUT	Fr_I_nTreg
ImmuNexUT	Int_Mono
ImmuNexUT	LDG
ImmuNexUT	mDC
ImmuNexUT	Mem_CD4
ImmuNexUT	Mem_CD8
ImmuNexUT	Naive_B
ImmuNexUT	Naive_CD4
ImmuNexUT	Naive_CD8
ImmuNexUT	NC_Mono
ImmuNexUT	Neu
ImmuNexUT	NK
ImmuNexUT	pDC
ImmuNexUT	Plasmablast
ImmuNexUT	SM_B
ImmuNexUT	TEMRA_CD8
ImmuNexUT	Tfh
ImmuNexUT	Th17
ImmuNexUT	Th1
ImmuNexUT	Th2
ImmuNexUT	USM_B
